"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",2010,2,4.67950918752711
"Cop","ssp126",2010,3,11.7674359817988
"Cop","ssp126",2010,4,20.9497352099384
"Cop","ssp126",2010,5,39.0162670251007
"Cop","ssp126",2010,6,56.5756098159786
"Cop","ssp126",2010,7,55.5964239061913
"Cop","ssp126",2010,8,31.5201180068513
"Cop","ssp126",2010,9,29.047890352981
"Cop","ssp126",2010,10,34.9576468098401
"Cop","ssp126",2010,11,23.5445562943644
"Cop","ssp126",2010,12,11.2884082755834
"Cop","ssp126",2011,1,6.26597847816926
"Cop","ssp126",2011,2,3.48004148938702
"Cop","ssp126",2011,3,2.90263697523022
"Cop","ssp126",2011,4,27.6474187575126
"Cop","ssp126",2011,5,39.3256194756023
"Cop","ssp126",2011,6,42.035008180657
"Cop","ssp126",2011,7,47.0340544519184
"Cop","ssp126",2011,8,36.9246768884456
"Cop","ssp126",2011,9,39.8091008676564
"Cop","ssp126",2011,10,38.0682306791661
"Cop","ssp126",2011,11,21.211472017763
"Cop","ssp126",2011,12,10.7247271771912
"Cop","ssp126",2012,1,6.13590408756683
"Cop","ssp126",2012,2,4.23564310121058
"Cop","ssp126",2012,3,18.6108639563442
"Cop","ssp126",2012,4,37.5394487796623
"Cop","ssp126",2012,5,45.0505035604183
"Cop","ssp126",2012,6,60.5544727940955
"Cop","ssp126",2012,7,65.411377541337
"Cop","ssp126",2012,8,38.7823906878212
"Cop","ssp126",2012,9,31.0136900567377
"Cop","ssp126",2012,10,30.362284675324
"Cop","ssp126",2012,11,29.6604764170009
"Cop","ssp126",2012,12,15.5782259477104
"Cop","ssp126",2013,1,8.21476362557326
"Cop","ssp126",2013,2,5.41602612235848
"Cop","ssp126",2013,3,11.4306790826439
"Cop","ssp126",2013,4,23.92327804736
"Cop","ssp126",2013,5,41.4344364121846
"Cop","ssp126",2013,6,53.1130335286777
"Cop","ssp126",2013,7,41.5890787437862
"Cop","ssp126",2013,8,32.3758051813172
"Cop","ssp126",2013,9,29.5075899066653
"Cop","ssp126",2013,10,26.7367882487668
"Cop","ssp126",2013,11,15.8101686438888
"Cop","ssp126",2013,12,8.39607190783689
"Cop","ssp126",2014,1,5.3038246418916
"Cop","ssp126",2014,2,9.83635876045651
"Cop","ssp126",2014,3,22.2809250502805
"Cop","ssp126",2014,4,34.7286187201139
"Cop","ssp126",2014,5,45.6155198366824
"Cop","ssp126",2014,6,45.828846554461
"Cop","ssp126",2014,7,47.7623285362327
"Cop","ssp126",2014,8,37.3019894814819
"Cop","ssp126",2014,9,30.3616064975851
"Cop","ssp126",2014,10,31.7302533595352
"Cop","ssp126",2014,11,19.6812460453078
"Cop","ssp126",2014,12,10.1266952251149
"Cop","ssp126",2015,1,4.93490312510598
"Cop","ssp126",2015,2,3.89409156349015
"Cop","ssp126",2015,3,19.1404126302711
"Cop","ssp126",2015,4,27.8397202729012
"Cop","ssp126",2015,5,30.8476893679254
"Cop","ssp126",2015,6,38.0972036036647
"Cop","ssp126",2015,7,36.2686650323208
"Cop","ssp126",2015,8,27.3352363181078
"Cop","ssp126",2015,9,29.6420860702125
"Cop","ssp126",2015,10,30.4699382248389
"Cop","ssp126",2015,11,19.2660131179852
"Cop","ssp126",2015,12,10.8669888001581
"Cop","ssp126",2016,1,5.88301311523182
"Cop","ssp126",2016,2,4.11500262903783
"Cop","ssp126",2016,3,11.5450462788673
"Cop","ssp126",2016,4,23.6472729463968
"Cop","ssp126",2016,5,31.7261166667864
"Cop","ssp126",2016,6,37.0944424824577
"Cop","ssp126",2016,7,34.8013313883742
"Cop","ssp126",2016,8,27.9063907798248
"Cop","ssp126",2016,9,27.0003870230602
"Cop","ssp126",2016,10,32.1238885591891
"Cop","ssp126",2016,11,25.9683901815868
"Cop","ssp126",2016,12,12.0731384231834
"Cop","ssp126",2017,1,5.58938163117617
"Cop","ssp126",2017,2,3.97505209700456
"Cop","ssp126",2017,3,5.86983736841982
"Cop","ssp126",2017,4,15.338084574228
"Cop","ssp126",2017,5,33.1041059361945
"Cop","ssp126",2017,6,49.8423559762225
"Cop","ssp126",2017,7,55.4703002865226
"Cop","ssp126",2017,8,37.7928399465293
"Cop","ssp126",2017,9,38.4009805797548
"Cop","ssp126",2017,10,29.0218916482466
"Cop","ssp126",2017,11,20.219079600596
"Cop","ssp126",2017,12,12.7750010144883
"Cop","ssp126",2018,1,6.62188814180677
"Cop","ssp126",2018,2,4.09610620945327
"Cop","ssp126",2018,3,4.73151146599224
"Cop","ssp126",2018,4,20.6155986312365
"Cop","ssp126",2018,5,31.6190917689
"Cop","ssp126",2018,6,46.7607560126511
"Cop","ssp126",2018,7,46.3488757135775
"Cop","ssp126",2018,8,32.4449162146719
"Cop","ssp126",2018,9,27.6846722053215
"Cop","ssp126",2018,10,26.1271060848243
"Cop","ssp126",2018,11,15.8356867540732
"Cop","ssp126",2018,12,8.32411821634972
"Cop","ssp126",2019,1,4.53951093853597
"Cop","ssp126",2019,2,2.89760419295118
"Cop","ssp126",2019,3,4.67498924792986
"Cop","ssp126",2019,4,31.9031218664605
"Cop","ssp126",2019,5,33.3366276752109
"Cop","ssp126",2019,6,41.8027988383467
"Cop","ssp126",2019,7,40.2970290958806
"Cop","ssp126",2019,8,32.2912029552803
"Cop","ssp126",2019,9,31.4578661656992
"Cop","ssp126",2019,10,31.9234639942279
"Cop","ssp126",2019,11,18.4651864858619
"Cop","ssp126",2019,12,9.60341292652678
"Cop","ssp126",2020,1,4.91312046118582
"Cop","ssp126",2020,2,2.96883446651504
"Cop","ssp126",2020,3,3.1977624932364
"Cop","ssp126",2020,4,21.2478718127356
"Cop","ssp126",2020,5,42.0202585933668
"Cop","ssp126",2020,6,54.2739036415931
"Cop","ssp126",2020,7,49.6614484355543
"Cop","ssp126",2020,8,41.2550015835091
"Cop","ssp126",2020,9,33.9495744949415
"Cop","ssp126",2020,10,34.2050287410939
"Cop","ssp126",2020,11,20.6261394484824
"Cop","ssp126",2020,12,11.9111143785472
"Cop","ssp126",2021,1,5.99770892891734
"Cop","ssp126",2021,2,2.24536631575514
"Cop","ssp126",2021,3,1.090723298822
"Cop","ssp126",2021,4,2.88280836990348
"Cop","ssp126",2021,5,12.5606805583893
"Cop","ssp126",2021,6,23.3266140957743
"Cop","ssp126",2021,7,29.1440540099722
"Cop","ssp126",2021,8,29.0572626316527
"Cop","ssp126",2021,9,33.3639064603094
"Cop","ssp126",2021,10,34.5153633503851
"Cop","ssp126",2021,11,24.7134311699132
"Cop","ssp126",2021,12,12.814313773908
"Cop","ssp126",2022,1,5.61315326754808
"Cop","ssp126",2022,2,2.36445615013796
"Cop","ssp126",2022,3,16.2183648242992
"Cop","ssp126",2022,4,25.5854846663823
"Cop","ssp126",2022,5,38.6556612264947
"Cop","ssp126",2022,6,49.7537858113411
"Cop","ssp126",2022,7,56.0076296028405
"Cop","ssp126",2022,8,35.8142748717383
"Cop","ssp126",2022,9,28.4947287971045
"Cop","ssp126",2022,10,28.4835502986361
"Cop","ssp126",2022,11,20.0529687803122
