"simulation","depthclass","year","annual_avg_temp"
"ssp245","Surface",2068,10.9223211636241
"ssp245","Surface",2069,11.3608001999179
"ssp245","Surface",2070,10.6510116549593
"ssp245","Surface",2071,10.2053092631497
"ssp245","Surface",2072,11.3940186343144
"ssp245","Surface",2073,10.9325743243692
"ssp245","Surface",2074,10.3054385747649
"ssp245","Surface",2075,10.7609260995122
"ssp245","Surface",2076,11.1592250048603
"ssp245","Surface",2077,11.1880578831516
"ssp245","Surface",2078,11.107641022348
"ssp245","Surface",2079,10.7092634583069
"ssp245","Surface",2080,11.13584242152
"ssp245","Surface",2081,10.9679465182658
"ssp245","Surface",2082,11.9077743620067
"ssp245","Surface",2083,11.9545937857985
"ssp245","Surface",2084,11.524184718739
"ssp245","Surface",2085,11.7094520537331
"ssp245","Surface",2086,11.7218655055717
"ssp245","Surface",2087,10.9317760651466
"ssp245","Surface",2088,12.1238964154865
"ssp245","Surface",2089,12.7943809511844
"ssp245","Surface",2090,12.1819020923887
"ssp245","Surface",2091,10.9558788579157
"ssp245","Surface",2092,11.2492422667213
"ssp245","Surface",2093,11.4475144065997
"ssp245","Surface",2094,10.9062659216197
"ssp245","Surface",2095,11.8638557347831
"ssp245","Surface",2096,11.1002071154456
"ssp245","Surface",2097,11.38065273894
"ssp245","Surface",2098,11.3649782010835
"ssp245","Surface",2099,10.2634699539581
"ssp585","Bottom",1980,6.59465053179509
"ssp585","Bottom",1981,6.64789405280248
"ssp585","Bottom",1982,7.50018213681163
"ssp585","Bottom",1983,7.81730276368711
"ssp585","Bottom",1984,7.05584550411127
"ssp585","Bottom",1985,6.70521367328403
"ssp585","Bottom",1986,6.64105318211496
"ssp585","Bottom",1987,6.37534236683309
"ssp585","Bottom",1988,6.30347218544049
"ssp585","Bottom",1989,6.15427518198685
"ssp585","Bottom",1990,6.56241562823382
"ssp585","Bottom",1991,5.89147554629302
"ssp585","Bottom",1992,6.58919081902319
"ssp585","Bottom",1993,5.78661063158191
"ssp585","Bottom",1994,6.03208627132818
"ssp585","Bottom",1995,6.29529975735498
"ssp585","Bottom",1996,6.49271906949581
"ssp585","Bottom",1997,6.88167138258535
"ssp585","Bottom",1998,7.49776650436941
"ssp585","Bottom",1999,6.92633789366977
"ssp585","Bottom",2000,6.69430457957032
"ssp585","Bottom",2001,6.76169034557826
"ssp585","Bottom",2002,6.50020710529179
"ssp585","Bottom",2003,7.13020910721728
"ssp585","Bottom",2004,6.81912088285948
"ssp585","Bottom",2005,7.07019793179112
"ssp585","Bottom",2006,6.86818056074367
"ssp585","Bottom",2007,6.37057553689921
"ssp585","Bottom",2008,6.47639136964554
"ssp585","Bottom",2009,6.68252794546697
"ssp585","Bottom",2010,7.09845308716379
"ssp585","Bottom",2011,6.74001218392217
"ssp585","Bottom",2012,6.8189222009567
"ssp585","Bottom",2013,6.94387568366585
"ssp585","Bottom",2014,7.45795745945072
"ssp585","Bottom",2015,7.59134559535592
"ssp585","Bottom",2016,7.68262322875122
"ssp585","Bottom",2017,7.84242294447854
"ssp585","Bottom",2018,7.32600430975639
"ssp585","Bottom",2019,7.52299886867816
"ssp585","Bottom",2020,7.1811606396793
"ssp585","Bottom",2021,7.04353089770106
"ssp585","Bottom",2022,7.1426510022051
"ssp585","Bottom",2023,6.37866656571821
"ssp585","Bottom",2024,6.48264178246594
"ssp585","Bottom",2025,6.69571645984477
"ssp585","Bottom",2026,7.50115571348637
"ssp585","Bottom",2027,7.03117964263018
"ssp585","Bottom",2028,8.00235450423257
"ssp585","Bottom",2029,8.07436783353073
"ssp585","Bottom",2030,7.37041842218345
"ssp585","Bottom",2031,7.64262190087673
"ssp585","Bottom",2032,8.10070172009744
"ssp585","Bottom",2033,7.772725121586
"ssp585","Bottom",2034,7.58124849971679
"ssp585","Bottom",2035,6.54735343153362
"ssp585","Bottom",2036,7.14165994363871
"ssp585","Bottom",2037,7.61061878247262
"ssp585","Bottom",2038,7.35657382283605
"ssp585","Bottom",2039,7.53373100414127
"ssp585","Bottom",2040,8.00124876236464
"ssp585","Bottom",2041,7.88211372562489
"ssp585","Bottom",2042,8.20406424665348
"ssp585","Bottom",2043,8.55386425807897
"ssp585","Bottom",2044,8.62214727460976
"ssp585","Bottom",2045,7.8566670487091
"ssp585","Bottom",2046,7.70281961849193
"ssp585","Bottom",2047,7.48329329320978
"ssp585","Bottom",2048,7.45748895769262
"ssp585","Bottom",2049,8.62380563569478
"ssp585","Bottom",2050,7.80958425209438
"ssp585","Bottom",2051,8.23551590932288
"ssp585","Bottom",2052,8.47367792264148
"ssp585","Bottom",2053,8.46899262998645
"ssp585","Bottom",2054,8.59957637892585
"ssp585","Bottom",2055,8.58567530308372
"ssp585","Bottom",2056,8.13898728706474
"ssp585","Bottom",2057,8.59645493692229
"ssp585","Bottom",2058,8.66354592770908
"ssp585","Bottom",2059,8.38800523865387
"ssp585","Bottom",2060,7.91355128722903
"ssp585","Bottom",2061,9.31867332936216
"ssp585","Bottom",2062,8.75359108380465
"ssp585","Bottom",2063,8.2050167103516
"ssp585","Bottom",2064,8.72216921633503
"ssp585","Bottom",2065,8.78424984004444
"ssp585","Bottom",2066,8.54634765552822
"ssp585","Bottom",2067,9.31414552156542
"ssp585","Bottom",2068,8.77602902425954
"ssp585","Bottom",2069,8.51920083029709
"ssp585","Bottom",2070,8.83375801061869
"ssp585","Bottom",2071,9.02673624825107
"ssp585","Bottom",2072,8.65235893599092
"ssp585","Bottom",2073,9.27272838392154
"ssp585","Bottom",2074,9.11508371119316
"ssp585","Bottom",2075,9.03348517538455
"ssp585","Bottom",2076,8.85142062160389
"ssp585","Bottom",2077,8.77524950640348
"ssp585","Bottom",2078,8.8640532965299
"ssp585","Bottom",2079,8.8310413528169
"ssp585","Bottom",2080,9.21485708157402
"ssp585","Bottom",2081,9.67023859085278
"ssp585","Bottom",2082,9.68415638211778
"ssp585","Bottom",2083,8.81609905763688
"ssp585","Bottom",2084,8.66285413641787
"ssp585","Bottom",2085,8.90633085977391
"ssp585","Bottom",2086,9.72752276098251
"ssp585","Bottom",2087,9.33112001852478
"ssp585","Bottom",2088,9.45405112732952
"ssp585","Bottom",2089,10.3721489216556
"ssp585","Bottom",2090,9.80227558626958
"ssp585","Bottom",2091,10.3012618440803
"ssp585","Bottom",2092,10.5431097955284
"ssp585","Bottom",2093,10.398195964331
"ssp585","Bottom",2094,10.0869371464866
"ssp585","Bottom",2095,9.47698725852691
"ssp585","Bottom",2096,9.51156257845301
"ssp585","Bottom",2097,8.54137047718103
"ssp585","Bottom",2098,9.33665582453803
"ssp585","Bottom",2099,10.3716115513534
"ssp585","Surface",1980,8.11733378264742
"ssp585","Surface",1981,9.36503664344068
"ssp585","Surface",1982,9.44553581252151
"ssp585","Surface",1983,9.45080507618427
