"varname","simulation","year","month","prod_biom_month"
"prod_PhL","ssp126",2013,1,0.869703002158875
"prod_PhL","ssp126",2013,2,3.34314550781899
"prod_PhL","ssp126",2013,3,11.6075795922025
"prod_PhL","ssp126",2013,4,19.8150757408437
"prod_PhL","ssp126",2013,5,23.8678101359225
"prod_PhL","ssp126",2013,6,26.1432262503092
"prod_PhL","ssp126",2013,7,28.6864071490214
"prod_PhL","ssp126",2013,8,26.0591362042683
"prod_PhL","ssp126",2013,9,29.2621595295244
"prod_PhL","ssp126",2013,10,11.8122556276244
"prod_PhL","ssp126",2013,11,4.70670416875874
"prod_PhL","ssp126",2013,12,0.758418545264241
"prod_PhL","ssp126",2014,1,1.0622101318216
"prod_PhL","ssp126",2014,2,3.68074930474386
"prod_PhL","ssp126",2014,3,13.6585655967248
"prod_PhL","ssp126",2014,4,24.5295384224854
"prod_PhL","ssp126",2014,5,38.5947910521083
"prod_PhL","ssp126",2014,6,28.7507592088599
"prod_PhL","ssp126",2014,7,27.887243226747
"prod_PhL","ssp126",2014,8,27.3392231804634
"prod_PhL","ssp126",2014,9,27.7362565579818
"prod_PhL","ssp126",2014,10,11.3920387726222
"prod_PhL","ssp126",2014,11,2.91194945438963
"prod_PhL","ssp126",2014,12,0.971842789225022
"prod_PhL","ssp126",2015,1,1.44620291229191
"prod_PhL","ssp126",2015,2,3.41751151734347
"prod_PhL","ssp126",2015,3,11.397382841988
"prod_PhL","ssp126",2015,4,19.3504696524224
"prod_PhL","ssp126",2015,5,21.4544926920567
"prod_PhL","ssp126",2015,6,27.5666374345014
"prod_PhL","ssp126",2015,7,24.4717691118183
"prod_PhL","ssp126",2015,8,26.4613290312758
"prod_PhL","ssp126",2015,9,26.6772179654915
"prod_PhL","ssp126",2015,10,10.8490238944619
"prod_PhL","ssp126",2015,11,3.20466677597151
"prod_PhL","ssp126",2015,12,0.8469607331692
"prod_PhL","ssp126",2016,1,1.15526349752083
"prod_PhL","ssp126",2016,2,3.99415320812944
"prod_PhL","ssp126",2016,3,13.6903923275954
"prod_PhL","ssp126",2016,4,23.9856273322686
"prod_PhL","ssp126",2016,5,26.9608989878214
"prod_PhL","ssp126",2016,6,28.0450613209915
"prod_PhL","ssp126",2016,7,29.6145630636158
"prod_PhL","ssp126",2016,8,29.2285347533723
"prod_PhL","ssp126",2016,9,29.296840894245
"prod_PhL","ssp126",2016,10,11.7552259552755
"prod_PhL","ssp126",2016,11,3.71947401478282
"prod_PhL","ssp126",2016,12,1.11057677679532
"prod_PhL","ssp126",2017,1,1.35657371458721
"prod_PhL","ssp126",2017,2,3.96523106398438
"prod_PhL","ssp126",2017,3,9.65578827134266
"prod_PhL","ssp126",2017,4,17.0757848334298
"prod_PhL","ssp126",2017,5,28.192236447256
"prod_PhL","ssp126",2017,6,25.4502816807078
"prod_PhL","ssp126",2017,7,25.2543133886755
"prod_PhL","ssp126",2017,8,23.5595570861136
"prod_PhL","ssp126",2017,9,24.4921769681021
"prod_PhL","ssp126",2017,10,14.1418247315353
"prod_PhL","ssp126",2017,11,4.60505240308147
"prod_PhL","ssp126",2017,12,0.731422171228965
"prod_PhL","ssp126",2018,1,1.27298687424067
