tstep,phl_ssp126,phl_ssp245,phl_ssp585,phs_ssp126,phs_ssp245,phs_ssp585
954,1.775482229,2.35992016,1.38191472,2.214657308,2.388081104,2.11864453
955,1.341344725,1.882824071,1.500464536,1.74099111,2.356256995,2.085735461
956,1.65883769,1.489751385,1.332341467,1.877844788,1.95861988,1.71473954
957,1.512114646,1.209771976,1.430050855,1.682617521,1.609901914,1.725594933
958,0.796355786,0.614680748,0.651585846,1.007006083,0.986353502,1.022052021
959,0.186739371,0.191793739,0.28239872,0.318556799,0.337055851,0.411029307
960,0.063872591,0.041967854,0.056710458,0.118876085,0.085259865,0.121499447
961,0.049510953,0.035508483,0.079477166,0.085277177,0.05881336,0.155040496
962,0.145585932,0.132732961,0.155130248,0.275593268,0.278041613,0.311037852
963,0.710188467,0.358503054,0.703995876,0.890628706,0.624811383,0.916595488
964,0.979718594,0.90853785,1.315402896,1.342427533,1.393085216,1.375633159
965,1.720775088,1.545277675,1.977207824,2.046727458,2.095072266,2.082697051
966,2.022793694,1.610971656,1.363328003,2.501245993,2.320720055,2.05576814
967,1.734841624,1.125287928,1.617616483,2.49921584,1.824347398,2.126109928
968,1.355324486,1.355297661,1.267802852,1.834235203,1.874324378,1.722998699
969,1.842077896,1.545911683,1.317303252,1.903968178,1.872345185,1.625846158
970,0.77580138,0.537631485,0.566586817,1.04919769,0.901928314,0.91943833
971,0.191573926,0.160610013,0.222660283,0.302232929,0.314818967,0.366922198
972,0.059677568,0.043449586,0.060758397,0.110763993,0.098206565,0.103851281
973,0.063851208,0.02131547,0.053008857,0.109492503,0.038874106,0.09332248
974,0.25323995,0.09884692,0.229954326,0.372108131,0.220429291,0.32732466
975,0.69215454,0.389843649,0.94328203,0.91697982,0.723372354,0.955661169
976,0.700853188,0.956419891,0.81658314,1.332516144,1.311906955,1.507779583
977,1.75449984,1.174297374,1.435138849,2.050231293,1.936007264,2.025520298
978,1.581563,1.666252065,1.172280225,1.882549032,2.344964915,1.949500735
979,2.28870913,1.158221599,1.257902951,2.287645588,1.961264486,1.843722908
980,1.634533147,1.156265028,1.383751642,1.854383346,1.74016334,1.740926236
981,1.541682262,1.077357023,1.539902871,1.697308865,1.550293015,1.752416874
982,0.746167284,0.620510629,1.104134619,0.985226196,1.047521439,1.22316096
983,0.204016911,0.18961727,0.236315958,0.306721516,0.330868903,0.408924256
984,0.060017005,0.052366613,0.058072717,0.119531634,0.109442185,0.136142341
985,0.075562309,0.056813575,0.039362215,0.13901498,0.115958553,0.081448741
986,0.256350937,0.140971915,0.250489362,0.426214268,0.285211267,0.47078012
987,0.487019888,0.45175653,0.422658183,0.740371609,0.845426192,0.801656247
988,1.93759996,0.961351304,1.418963949,1.26115676,1.529423996,1.466359694
989,1.37743858,1.321092242,1.490436029,1.827782519,2.007994784,2.043710899
990,1.497609711,1.620930755,1.814899862,2.025280388,2.274537309,2.221871458
991,1.383727036,1.273811095,1.902756007,1.901970364,2.006171753,2.352555031
992,1.479406054,1.41625701,1.595347227,1.791285567,1.899463942,2.054840785
993,1.114879765,1.169413193,1.507754054,1.410336602,1.499154559,1.788589995
994,0.930911208,0.738626998,0.840399157,1.055620231,1.028431264,1.151331442
995,0.279239573,0.239058195,0.095261019,0.382336061,0.387404771,0.210924737
996,0.078821801,0.045099716,0.070106983,0.147514859,0.084679805,0.131163313
997,0.044460498,0.06285523,0.078438186,0.072882715,0.120445689,0.145637162
998,0.23296875,0.257510859,0.22902868,0.405403045,0.457401166,0.398986763
999,0.8733233,0.60669385,0.528804752,0.816902085,0.87837343,0.882446924
1000,1.491446699,1.129643892,1.111521004,1.318669358,1.512811763,1.506938896
1001,1.501388853,1.748201432,2.590073707,2.014741813,2.103595636,1.917007859
1002,1.310967605,1.520499585,1.4786647,2.019780041,2.141971336,2.140039388
1003,1.802065829,1.303496198,1.636408077,2.183140042,2.048023152,2.227114389
1004,1.394769228,1.464784271,1.354153025,1.746607937,1.876229846,1.77474353
1005,1.382411565,1.213144165,1.602661378,1.644278715,1.58773671,1.806867488
1006,0.603302135,0.707152891,0.882735437,0.961979896,1.076865803,1.146693985
1007,0.206967619,0.251534872,0.156362638,0.346163528,0.408834392,0.31472692
1008,0.04789938,0.051841284,0.046700496,0.093852373,0.114448713,0.10977131
1009,0.054596767,0.028707193,0.059356385,0.098854853,0.059295083,0.129543947
1010,0.136849411,0.20794022,0.195038125,0.264581812,0.403847673,0.335007092
1011,0.570826685,0.564179516,0.610551047,0.81847886,0.876533308,0.823200403
1012,1.787330747,1.244254429,1.340007384,1.459714433,1.667101704,1.482079273
1013,1.350333014,1.19804374,1.676967487,1.842053736,2.02465045,1.986583859
1014,1.749386161,0.954548615,1.642739233,2.104945028,1.969088835,2.060433404
1015,1.274629213,1.028155321,1.364877681,1.693843964,1.875517447,1.91331286
1016,1.584534519,1.162861301,1.50518895,1.890028581,1.673628831,1.878755966
1017,1.601467054,1.121739705,1.226648913,1.715058626,1.553254128,1.532081366
1018,0.564939629,0.467195645,0.711423231,0.855146633,0.907652924,1.016800962
1019,0.231635884,0.155724316,0.246498628,0.356432317,0.295152529,0.386999163
1020,0.081520007,0.036862164,0.048231205,0.126025234,0.085590937,0.100797356
1021,0.112347835,0.037161835,0.028240101,0.178506812,0.063418399,0.052702717
1022,0.253128063,0.127651683,0.215189044,0.387853264,0.258676369,0.319295593
1023,0.517287432,0.450333496,0.476342238,0.842196656,0.753174724,0.845466834
1024,2.455900012,0.98303221,0.936774619,1.289098717,1.385579607,1.370121023
1025,1.604257867,1.654607203,1.7341513,1.760896627,1.905739253,2.233900066
1026,1.828688772,2.081305172,1.805519595,2.133210839,2.419687599,2.356500859
1027,1.628853437,1.373048981,1.804317086,2.002076151,2.056406589,2.387370374
1028,1.406509787,1.316275515,1.530019205,1.698444332,1.755106121,2.051042624
1029,1.491737018,1.497357465,1.48906527,1.642882019,1.762071625,1.79615321
1030,1.026210988,0.867654539,1.154301566,1.137786025,1.149921405,1.330589002
1031,0.203460381,0.126160059,0.114877114,0.304934729,0.272479064,0.27743255
1032,0.05987049,0.03775116,0.036530917,0.107489162,0.075274159,0.091175203
1033,0.069679542,0.026380267,0.045556151,0.118280828,0.043370239,0.101001589
1034,0.153654051,0.256173962,0.150913748,0.248649156,0.446733412,0.312765955
1035,0.576167933,0.477145435,0.465690793,0.749812017,0.826272379,0.83165988
1036,1.376112052,1.56915947,1.318597537,1.603662238,1.429863714,1.637856146
1037,1.305740359,1.469929417,1.617605654,1.856553104,1.956176562,2.151512775
