"","tstep","year","month","prod_PhL","prod_PhS"
"481",481,2020,1,1.39450156550358,2.6650143174126
"482",482,2020,2,3.49284538535172,6.94049213506038
"483",483,2020,3,14.1762150095583,18.3645072418294
"484",484,2020,4,18.7574477065628,27.1302445324739
"485",485,2020,5,26.5920803899158,37.438963937273
"486",486,2020,6,27.2519153459198,41.630176618773
"487",487,2020,7,27.9588836231574,40.8628175128348
"488",488,2020,8,30.0029316333052,38.2785849024925
"489",489,2020,9,35.6886135651453,37.4628501429393
"490",490,2020,10,14.1288028703361,21.8789057464182
"491",491,2020,11,3.92754941423558,7.08118800847019
"492",492,2020,12,1.00578821996592,1.9485282435815
"493",493,2021,1,1.18571487263997,2.07506303548065
"494",494,2021,2,3.22157073460448,6.10627667069465
"495",495,2021,3,9.68820107751672,15.2224309129727
"496",496,2021,4,17.0136001030694,25.0385052186285
"497",497,2021,5,44.0737407836017,40.41558543265
"498",498,2021,6,38.186496662254,45.1495451559013
"499",499,2021,7,33.3236218819454,42.6602988445393
"500",500,2021,8,32.4858082725335,38.4837284978343
"501",501,2021,9,31.3980812344152,36.5059178114246
"502",502,2021,10,13.6917915727745,20.5598686395933
"503",503,2021,11,2.80862012242002,5.37641048145454
"504",504,2021,12,0.714853984299541,1.22456349383903
"505",505,2022,1,0.879255337763655,1.53555186040281
"506",506,2022,2,2.16500352078968,4.19867460020055
"507",507,2022,3,9.38570292577794,16.2564277953946
"508",508,2022,4,18.6519407842569,25.8989626841526
"509",509,2022,5,21.0993674633376,34.1511400760548
"510",510,2022,6,24.4908430200804,41.2417578639
"511",511,2022,7,24.8757284877072,39.3059044944619
"512",512,2022,8,26.5684124757978,36.3052137961262
"513",513,2022,9,25.1920139617548,32.6495630157834
"514",514,2022,10,15.3882359630259,20.672381025293
"515",515,2022,11,3.6695463059195,6.99447540027285
"516",516,2022,12,0.81319082838786,1.87096420141379
"517",517,2023,1,0.818122088005111,1.52412190351995
"518",518,2023,2,1.54516259138473,3.30619280392318
"519",519,2023,3,8.6039233056654,13.4703878372171
"520",520,2023,4,16.1516403251485,26.5639561539466
"521",521,2023,5,28.0728534500081,37.157640075732
"522",522,2023,6,26.9410002379086,38.6481204562028
"523",523,2023,7,29.512496538067,39.5825830325688
"524",524,2023,8,26.945274641245,35.386814094082
"525",525,2023,9,27.0114337227308,32.5608787807925
"526",526,2023,10,15.6172037759755,21.522321284801
"527",527,2023,11,4.33945081002109,6.98443285739645
"528",528,2023,12,0.642562493983358,1.456508196614
"529",529,2024,1,0.761842304059484,1.57935355386093
"530",530,2024,2,2.50299423419353,4.68646506519918
"531",531,2024,3,11.8731665458628,16.3640290719808
"532",532,2024,4,22.1056079060869,33.193958994519
"533",533,2024,5,36.058524891234,44.3078872892362
