year,run_type,pacific_cod_adult,walleye_pollock_adult,arrowtooth_flounder_adult,pacific_cod_adult_mt,walleye_pollock_adult_mt,arrowtooth_flounder_adult_mt,,,,
2032,biomass_585,25.23029664,30.12787814,22.69543466,5923291.512,7073091.822,5328184.499,,,,
2033,biomass_585,24.3996989,30.10563709,23.72264021,5728292.91,7067870.314,5569340.519,,,,
2034,biomass_585,23.91864065,31.6459066,24.27950903,5615355.346,7429477.848,5700076.056,,,,
2035,biomass_585,23.1669709,29.70956838,24.09480403,5438886.591,6974885.66,5656713.048,,,,
2036,biomass_585,23.19637534,30.01471483,24.37587691,5445789.843,7046524.585,5722700.245,,,,
2037,biomass_585,23.67991729,30.09352387,25.05295867,5559310.503,7065026.506,5881658.054,,,,
2038,biomass_585,23.56413935,27.32583184,25.4037074,5532129.431,6415258.215,5964002.983,,,,
2039,biomass_585,23.22644472,26.14021266,25.25982709,5452849.2,6136911.585,5930224.347,,,,
2040,biomass_585,23.14219791,27.75007845,25.20105491,5433070.662,6514858.168,5916426.459,,,,
2041,biomass_585,22.9211848,29.14298705,25.10235015,5381183.633,6841869.926,5893253.642,,,,
2042,biomass_585,22.25774031,30.62218738,24.32561977,5225427.435,7189140.31,5710901.427,,,,
2043,biomass_585,21.34051033,32.93265447,23.81478803,5010090.269,7731566.358,5590973.971,,,,
2044,biomass_585,20.61267031,35.02671001,23.09179726,4839215.997,8223185.683,5421238.15,,,,
2045,biomass_585,20.42652952,37.75360683,22.47812351,4795515.909,8863376.521,5277166.579,,,,
