"year","species_group_code","species_group_name","species_name","retained_or_discarded","conf_flag","catch_mt"
"1994","SRRE","Shortraker/Rougheye Rockfish","rockfish, rougheye","D",1,NA
"1994","SRRE","Shortraker/Rougheye Rockfish","rockfish, rougheye","R",1,NA
"1994","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker","D",1,NA
"1994","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker","R",1,NA
"1994","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D",0,379.8
"1994","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R",0,628.76
"1994","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D",0,287.91
"1994","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R",0,607.75
"1995","AMCK","Atka Mackerel","greenling, atka mackerel","D",0,197.92
"1995","AMCK","Atka Mackerel","greenling, atka mackerel","R",0,500.71
"1995","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D",0,15201.2
"1995","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R",0,2224.33
"1995","DEM1","Demersal Shelf Rockfish","rockfish, canary","D",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, canary","R",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, china","R",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, quillback","D",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, quillback","R",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, redbanded","D",0,10.86
"1995","DEM1","Demersal Shelf Rockfish","rockfish, redbanded","R",0,5.04
"1995","DEM1","Demersal Shelf Rockfish","rockfish, rosethorn","R",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, tiger","D",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, tiger","R",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D",0,21.93
"1995","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R",0,13.57
"1995","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","D",1,NA
"1995","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","R",1,NA
"1995","DFL4","Deep Water Flatfish","flatfish, deep water","D",0,206.53
"1995","DFL4","Deep Water Flatfish","flatfish, deep water","R",0,339.53
"1995","DFL4","Deep Water Flatfish","sole, dover","D",0,195.26
"1995","DFL4","Deep Water Flatfish","sole, dover","R",0,1172.87
"1995","DFL4","Deep Water Flatfish","turbot, Greenland","D",0,1.4
"1995","DFL4","Deep Water Flatfish","turbot, Greenland","R",0,76.32
"1995","FSOL","Flathead Sole","sole, flathead","D",0,614.7
"1995","FSOL","Flathead Sole","sole, flathead","R",0,1537.34
"1995","NORK","Northern Rockfish","rockfish, northern","D",0,699.85
"1995","NORK","Northern Rockfish","rockfish, northern","R",0,4889.74
"1995","OTHR","Other","groundfish, general","D",0,2768.14
"1995","OTHR","Other","groundfish, general","R",0,301.84
"1995","OTHR","Other","squid, majestic","D",1,NA
"1995","OTHR","Other","squid, majestic","R",1,NA
"1995","PCOD","Pacific Cod","cod, Pacific (gray)","D",0,3457
"1995","PCOD","Pacific Cod","cod, Pacific (gray)","R",0,64524.5
"1995","PELS","Pelagic Shelf Rockfish","rockfish, black","D",1,NA
"1995","PELS","Pelagic Shelf Rockfish","rockfish, black","R",1,NA
"1995","PELS","Pelagic Shelf Rockfish","rockfish, dusky","D",0,15.27
"1995","PELS","Pelagic Shelf Rockfish","rockfish, dusky","R",0,116.68
"1995","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D",0,154.11
"1995","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R",0,1621.23
"1995","PELS","Pelagic Shelf Rockfish","rockfish, yellowtail","D",1,NA
"1995","PELS","Pelagic Shelf Rockfish","rockfish, yellowtail","R",1,NA
"1995","PLCK","Pollock","pollock, walleye","D",0,7731.14
"1995","PLCK","Pollock","pollock, walleye","R",0,61494.47
"1995","POPA","Pacific Ocean Perch","perch, Pacific ocean","D",0,997.94
"1995","POPA","Pacific Ocean Perch","perch, Pacific ocean","R",0,3021.88
"1995","REXS","Rex Sole","sole, rex","D",0,388.94
"1995","REXS","Rex Sole","sole, rex","R",0,3458.19
"1995","SABL","Sablefish","sablefish (blackcod)","D",0,829.87
"1995","SABL","Sablefish","sablefish (blackcod)","R",0,8589.93
"1995","SFL1","Shallow Water Flatfish","flatfish, shallow water","D",0,744.29
"1995","SFL1","Shallow Water Flatfish","flatfish, shallow water","R",0,276.24
"1995","SFL1","Shallow Water Flatfish","flounder, Alaska plaice","D",1,NA
"1995","SFL1","Shallow Water Flatfish","flounder, Alaska plaice","R",1,NA
"1995","SFL1","Shallow Water Flatfish","flounder, general","D",0,47.47
"1995","SFL1","Shallow Water Flatfish","flounder, general","R",1,NA
"1995","SFL1","Shallow Water Flatfish","flounder, starry","D",0,17.12
"1995","SFL1","Shallow Water Flatfish","flounder, starry","R",1,NA
"1995","SFL1","Shallow Water Flatfish","sole, English","D",0,7.3
"1995","SFL1","Shallow Water Flatfish","sole, English","R",1,NA
"1995","SFL1","Shallow Water Flatfish","sole, butter","D",1,NA
"1995","SFL1","Shallow Water Flatfish","sole, butter","R",0,160.54
"1995","SFL1","Shallow Water Flatfish","sole, petrale","D",1,NA
"1995","SFL1","Shallow Water Flatfish","sole, petrale","R",1,NA
"1995","SFL1","Shallow Water Flatfish","sole, rock","D",0,731.62
"1995","SFL1","Shallow Water Flatfish","sole, rock","R",0,3190.17
"1995","SFL1","Shallow Water Flatfish","sole, sand","D",0,10.23
"1995","SFL1","Shallow Water Flatfish","sole, sand","R",1,NA
"1995","SFL1","Shallow Water Flatfish","sole, yellowfin","D",0,18.12
"1995","SFL1","Shallow Water Flatfish","sole, yellowfin","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, blackgill","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, darkblotched","D",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, darkblotched","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, greenstripe","D",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, greenstripe","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, harlequin","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, redstripe","D",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, redstripe","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, sharpchin","D",0,182.7
"1995","SLR3","Other Slope Rockfish","rockfish, sharpchin","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, silvergray","D",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, silvergray","R",1,NA
"1995","SLR3","Other Slope Rockfish","rockfish, splitnose","R",1,NA
