"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","assigned_group"
2013,"SFL1","GOA Shallow Water Flatfish","sole, English","R","NPT",0,40.9815311613,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, English","R","PTR",0,0.2889383394,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, butter","D","HAL",0,0.1258099096,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, butter","D","NPT",0,5.3542897441,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, butter","D","POT",0,0.2105568905,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, butter","R","NPT",0,1067.1762635679,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, butter","R","PTR",0,6.0300569668,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, rock","D","HAL",0,7.7131190491,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, rock","D","NPT",0,148.4752225663,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, rock","D","POT",0,0.3912107372,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, rock","R","NPT",0,3975.1632325571,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, rock","R","PTR",0,68.249322359,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, sand","D","NPT",0,3.8949105906,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, yellowfin","D","HAL",0,1.1090110654,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, yellowfin","D","POT",0,1.0044706839,"Shallow-water flatfish"
2013,"SQID","Squid","squid, majestic","D","HAL",0,0.0074622311,"Squid"
2013,"SQID","Squid","squid, majestic","D","NPT",0,10.7354482635,"Squid"
2013,"SQID","Squid","squid, majestic","D","PTR",0,4.7975059207,"Squid"
2013,"SQID","Squid","squid, majestic","R","NPT",0,9.1079641791,"Squid"
2013,"SQID","Squid","squid, majestic","R","PTR",0,293.7663768736,"Squid"
2013,"SRKR","Shortraker Rockfish","rockfish, shortraker","D","HAL",0,175.4538114561,"Slope rockfish"
2013,"SRKR","Shortraker Rockfish","rockfish, shortraker","D","NPT",0,66.4503020304,"Slope rockfish"
2013,"SRKR","Shortraker Rockfish","rockfish, shortraker","R","HAL",0,69.4864162108,"Slope rockfish"
2013,"SRKR","Shortraker Rockfish","rockfish, shortraker","R","NPT",0,204.7997524224,"Slope rockfish"
2013,"SRKR","Shortraker Rockfish","rockfish, shortraker","R","PTR",0,0.9303179506,"Slope rockfish"
2013,"THDS","GOA Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","HAL",0,304.1385694185,"Thornyheads"
2013,"THDS","GOA Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","NPT",0,15.7896573859,"Thornyheads"
2013,"THDS","GOA Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","HAL",0,298.5621547777,"Thornyheads"
2013,"THDS","GOA Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","NPT",0,193.0304066605,"Thornyheads"
2013,"THDS","GOA Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","PTR",0,0.0530703074,"Thornyheads"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, Alaskan","R","HAL",0,0.3404641106,"Other skates"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, other","D","HAL",0,1491.9173208111,"Other skates"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, other","D","NPT",0,185.3779518481,"Other skates"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, other","D","PTR",0,0.1157490829,"Other skates"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, other","R","HAL",0,11.4274166938,"Other skates"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, other","R","NPT",0,8.2960993188,"Other skates"
2013,"USKT","BSAI Skate and GOA Skate, Other","skate, other","R","PTR",0,2.6852668295,"Other skates"
2013,"USRK","Shark","Pacific sleeper shark","D","HAL",0,28.7099577394,"Pacific sleeper shark"
2013,"USRK","Shark","Pacific sleeper shark","D","NPT",0,3.1778982174,"Pacific sleeper shark"
2013,"USRK","Shark","Pacific sleeper shark","D","PTR",0,12.9146332544,"Pacific sleeper shark"
2013,"USRK","Shark","shark, salmon","D","PTR",0,3.0040892803,"Salmon shark"
2013,"USRK","Shark","shark, spiny dogfish","D","HAL",0,1152.2914999498,"Pacific dogfish"
2013,"USRK","Shark","shark, spiny dogfish","D","NPT",0,293.7225204524,"Pacific dogfish"
2013,"USRK","Shark","shark, spiny dogfish","D","POT",0,0.1887235089,"Pacific dogfish"
2013,"USRK","Shark","shark, spiny dogfish","D","PTR",0,0.1505926921,"Pacific dogfish"
2013,"USRK","Shark","shark, spiny dogfish","R","NPT",0,4.4352261934,"Pacific dogfish"
2013,"USRK","Shark","shark, spiny dogfish","R","PTR",0,5.1378407747,"Pacific dogfish"
2014,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,2.8963835042,"Atka mackerel"
2014,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,66.1678876282,"Atka mackerel"
2014,"AMCK","Atka Mackerel","greenling, atka mackerel","D","POT",0,5.1244122421,"Atka mackerel"
2014,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,966.6685758367,"Atka mackerel"
2014,"AMCK","Atka Mackerel","greenling, atka mackerel","R","POT",0,0.2472541265,"Atka mackerel"
2014,"AMCK","Atka Mackerel","greenling, atka mackerel","R","PTR",0,0.6177928078,"Atka mackerel"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,474.0888982831,"Arrowtooth flounder"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,3163.9499408966,"Arrowtooth flounder"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,2.3612686115,"Arrowtooth flounder"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","PTR",0,2.6526305412,"Arrowtooth flounder"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,11.5878683823,"Arrowtooth flounder"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,32242.098983183,"Arrowtooth flounder"
2014,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","PTR",0,627.7618882587,"Arrowtooth flounder"
2014,"BSKT","GOA Skate, Big","skate, big","D","HAL",0,871.6922199478,"Big skate"
2014,"BSKT","GOA Skate, Big","skate, big","D","NPT",0,265.7019671158,"Big skate"
2014,"BSKT","GOA Skate, Big","skate, big","D","PTR",0,0.3114969507,"Big skate"
2014,"BSKT","GOA Skate, Big","skate, big","R","HAL",0,140.98802509,"Big skate"
2014,"BSKT","GOA Skate, Big","skate, big","R","NPT",0,275.3897741856,"Big skate"
2014,"BSKT","GOA Skate, Big","skate, big","R","PTR",0,1.1943087101,"Big skate"
2014,"DFL4","GOA Deep Water Flatfish","Kamchatka flounder","D","HAL",0,0.6988381643,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","Kamchatka flounder","D","NPT",0,2.5468553061,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","Kamchatka flounder","R","NPT",0,65.6012749197,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","sole, dover","D","HAL",0,6.648740251,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","sole, dover","D","NPT",0,101.6024845648,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","sole, dover","R","NPT",0,159.1302302114,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","sole, dover","R","PTR",0,7.093277482,"Deep-water flatfish"
2014,"DFL4","GOA Deep Water Flatfish","turbot, Greenland","D","HAL",0,0.1046747169,"Deep-water flatfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","D","HAL",0,12.6253291195,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","D","NPT",0,71.7884814153,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","D","POT",0,3.8720909313,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","D","PTR",0,3.1852218198,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","R","HAL",0,1.262949715,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","R","JIG",0,14.4779278911,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","R","NPT",0,2705.4252558344,"Pelagic shelf rockfish"
2014,"DUSK","GOA Dusky Rockfish","rockfish, dusky","R","PTR",0,157.8307998956,"Pelagic shelf rockfish"
2014,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,18.2684617294,"Flathead sole"
2014,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,124.5990534876,"Flathead sole"
2014,"FSOL","Flathead Sole","sole, flathead","D","POT",0,0.167210378,"Flathead sole"
2014,"FSOL","Flathead Sole","sole, flathead","D","PTR",0,3.1061864548,"Flathead sole"
2014,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,2289.0763021735,"Flathead sole"
2014,"FSOL","Flathead Sole","sole, flathead","R","PTR",0,120.1326691311,"Flathead sole"
2014,"HLBT","Halibut","halibut, Pacific","D","HAL",0,4157.2505336884,"Pacific halibut"
2014,"HLBT","Halibut","halibut, Pacific","R","HAL",0,4478.6411981124,"Pacific halibut"
2014,"HLBT","Halibut","halibut, Pacific","R","JIG",0,4.1515230867,"Pacific halibut"
2014,"HLBT","Halibut","halibut, Pacific","R","POT",0,0.0276691345,"Pacific halibut"
